intensity1,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensity10
intensity1,105.64241774735403,133.2385094986931,160.8346012500322,188.43069300137128,216.02678475271034,243.62287650404943,271.2189682553885,298.8150600067276,326.4111517580667,354.0072435094058
intensity2,29.42757225815997,45.42120014823128,61.41482803830259,77.4084559283739,93.4020838184452,109.39571170851652,125.38933959858782,141.38296748865912,157.37659537873043,173.37022326880174
intensity3,23.008964742227718,29.558440856106373,36.10791696998503,42.657393083863674,49.20686919774232,55.756345311620976,62.30582142549963,68.85529753937828,75.40477365325694,81.95424976713558
