,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14
slopes,26.186998352155285,14.035100161472837,46.768085238604414,6.549476113878652,22.652533439105646,5.734918296351435,15.99362789007131,8.670910945325822,17.95415316679969,27.596091751339085,22.05876108368487,33.91847282690686,1.4920216672646316,5.384852156165184
intercepts,-8.684986561617595,-24.135800775445546,84.41455139074964,16.459488628349067,-19.851330164063544,4.615380684816588,13.43394436808866,-4.634851236985105,-6.700544709671684,78.04632599601494,-1.8356537174359167,48.892307019321755,-2.8307690887574446,-6.671569334850597
