,1-60,61-120,121-180,181-240,241-300,301-360,361-420,421-480,481-540,541-600
mean_ours,37.567700269068425,60.06671433640311,82.10049161840978,108.21178797062832,104.60394869609074,91.53574880044319,107.93624040278836,66.07085442490775,120.52515006850439,125.36013042367752
std_ours,28.085495131007225,46.364629203284096,69.68154591679289,102.5512576896545,66.34039662123973,49.10993090005579,45.28566349747542,40.576493673019854,76.66787617539133,35.46998088351571
means_naive_pred,94.31018302296985,35.03474569515564,24.1751289492444,81.68502350751258,146.27050071459925,206.09431522162356,257.1488404093779,327.0850580479988,390.88702825010427,446.79688832337064
stds_naive_pred,15.094832259331143,16.939406540909587,16.212941194720813,16.837597113540262,14.782355063426998,16.51796411172388,16.17967726890967,16.81206150798351,18.06201876130079,17.523017101911982
