,1-60,61-120,121-180,181-240,241-300,301-360,361-420,421-480,481-540,541-600
mean_ours,25.002974570748265,34.59804281036137,48.43392878386934,63.57884270574006,92.35940090147388,112.74181463718415,160.0660138425574,182.01996183395386,189.4773236788236,244.41272099812826
std_ours,24.82274013762221,30.610047979356192,37.33943825781011,47.51974987053252,57.48936493849152,65.7116725445626,85.82921027151711,77.57306733270643,92.08082763532367,83.98754860911811
means_naive_pred,86.66430537112652,32.39742399923927,27.796401393049855,87.62213421888755,151.00525745295684,208.23079467773442,269.6984277883885,328.2260826683045,386.4388198617789,438.0220652940538
stds_naive_pred,15.873993436225335,16.953564911265598,18.22935299385183,16.999617326417578,17.326206583605863,17.998393731060755,16.18818150793082,16.765620693165623,18.39082561735996,14.420149651362864
